Commune;nbr
Saint-Laurent-Blangy 62223;  800
Saint-Laurent-de-la-Salanque 66250; 1 480
Saint-Laurent-de-Mure 69720;  420
Saint-Laurent-du-Maroni 97320; 9 370
Saint-Laurent-du-Var 06700; 2 990
Saint-Laurent-Médoc 33112;  520
Saint-Leu 97436; 10 050
Saint-Leu-la-Forêt 95320; 1 340
Saint-Lô 50000; 2 340
Saint-Loubès 33450; 1 010
Saint-Louis 68300; 2 910
Saint-Louis 97434; 15 370
Saint-Lyphard 44410;  380
Saint-Lys 31470;  930
Saint-Macaire-en-Mauges 49450; 1 860
Saint-Maixent-l'École 79400;  760
Saint-Malo 35400; 5 110
Saint-Mandé 94160; 1 640
Saint-Mandrier-sur-Mer 83430;  540
Saint-Marcel 71380;  630
Saint-Marcel-lès-Valence 26320;  600
Saint-Marcellin 38160;  940
Saint-Marcellin-en-Forez 42680;  450
Saint-Mars-du-Désert 44850;  350
Saint-Martin-Boulogne 62280; 1 230
Saint-Martin-de-Crau 13310; 1 640
Saint-Martin-de-Seignanx 40390;  560
Saint-Martin-d'Hères 38400; 3 750
Saint-Martin-d'Uriage 38410;  330
Saint-Martin-la-Pallu 86380;  460
Saint-Martin-le-Vinoux 38950;  620
Saint-Martin-lez-Tatinghem 62500;  510
Saint-Maur-des-Fossés 94100; 6 000
Saint-Maurice 94410; 1 220
Saint-Maurice-l'Exil 38550;  670
Saint-Max 54130; 1 120
Saint-Maximin-la-Sainte-Baume 83470; 1 690
Saint-Médard-en-Jalles 33160; 2 480
Saint-Memmie 51470;  600
Saint-Michel-Chef-Chef 44730;  520
Saint-Michel-sur-Orge 91240; 2 170
Saint-Mitre-les-Remparts 13920;  580
Saint-Nazaire 44600; 9 040
Saint-Nicolas-de-Port 54210;  650
Saint-Nom-la-Bretèche 78860;  250
Saint-Omer 62500; 2 550
Saint-Orens-de-Gameville 31650; 1 360
Saint-Ouen 93400; 8 290
Saint-Ouen-l'Aumône 95310; 3 160
Saint-Pathus 77178;  450
Saint-Paul 97460; 26 080
Saint-Paul-lès-Dax 40990; 1 630
Saint-Paul-Trois-Châteaux 26130;  940
Saint-Pée-sur-Nivelle 64310;  650
Saint-Péray 07130;  600
Saint-Philbert-de-Grand-Lieu 44310;  680
Saint-Philippe 97442; 1 430
Saint-Pierre 97410; 22 500
Saint-Pierre-des-Corps 37700; 2 520
Saint-Pierre-d'Irube 64990;  520
Saint-Pierre-d'Oléron 17310;  780
Saint-Pierre-du-Mont 40280; 1 020
Saint-Pierre-du-Perray 91280;  930
Saint-Pierre-en-Auge 14170;  680
Saint-Pierre-en-Faucigny 74800;  660
Saint-Pierre-lès-Elbeuf 76320;  920
Saint-Pierre-lès-Nemours 77140;  440
Saint-Pol-de-Léon 29250;  710
Saint-Pol-sur-Ternoise 62130;  620
Saint-Pourçain-sur-Sioule 03500;  490
Saint-Priest 69800; 5 990
Saint-Priest-en-Jarez 42270;  470
Saint-Privat-des-Vieux 30340;  550
Saint-Prix 95390;  600
Saint-Pryvé-Saint-Mesmin 45750;  570
Saint-Quentin 02100; 9 070
Saint-Quentin-Fallavier 38070;  560
Saint-Rambert-d'Albon 26140;  820
Saint-Raphaël 83700; 4 050
Saint-Rémy 71100;  540
Saint-Rémy-de-Provence 13210; 1 000
Saint-Rémy-lès-Chevreuse 78470;  410
Saint-Renan 29290;  530
Saintry-sur-Seine 91250;  440
Saint-Saturnin-lès-Avignon 84450;  480
Saint-Saulve 59880; 1 300
Saint-Sébastien-de-Morsent 27180;  420
Saint-Sébastien-sur-Loire 44230; 2 610
Saint-Sever 40500;  520
Saint-Sulpice-la-Pointe 81370;  910
Saint-Symphorien-d'Ozon 69360;  470
Saint-Thibault-des-Vignes 77400;  620
Saint-Vallier 71230;  760
Saint-Victoret 13730;  670
Saint-Vincent-de-Tyrosse 40230;  930
Saint-Vit 25410;  400
Saint-Xandre 17138;  470
Saint-Yrieix-la-Perche 87500;  550
Saint-Yrieix-sur-Charente 16710;  710
Saint-Zacharie 83640;  430
Salazie 97433; 2 000
Salbris 41300;  430
Saleilles 66280;  570
Sallanches 74700; 1 270
Sallaumines 62430; 1 600
Salles 33770;  710
Salon-de-Provence 13300; 5 670
Sanary-sur-Mer 83110; 1 730
Sannois 95110; 3 090
Santes 59211;  380
Saran 45770; 1 940
Sarcelles 95200; 9 290
Sarlat-la-Canéda 24200; 1 070
Sarrebourg 57400; 1 450
Sarreguemines 57200; 2 760
Sarrians 84260;  680
Sartrouville 78500; 5 820
Sarzeau 56370;  670
Sassenage 38360;  840
Sathonay-Camp 69580;  590
Saujon 17600;  670
Saulx-les-Chartreux 91160;  540
Saumur 49400; 3 690
Sausheim 68390;  480
Sausset-les-Pins 13960;  540
Sautron 44880;  550
Sauvian 34410;  620
Savenay 44260;  730
Saverne 67700; 1 260
Savigny-le-Temple 77176; 3 430
Savigny-sur-Orge 91600; 3 510
Scaër 29390;  520
Sceaux 92330; 1 280
Schiltigheim 67300; 4 910
Schoelcher 97233; 2 760
Schweighouse-sur-Moder 67590;  400
Sciez 74140;  590
Scionzier 74950; 1 110
Seclin 59113; 1 660
Sedan 08200; 3 010
Segré 49500; 1 520
Seichamps 54280;  360
Sélestat 67600; 2 120
Seloncourt 25230;  720
Séméac 65600;  530
Sénas 13560;  810
Séné 56860;  850
Senlis 60300; 1 360
Sens 89100; 3 800
Septèmes-les-Vallons 13240; 1 260
Sérignan 34410; 1 270
Serris 77700; 1 020
Servian 34290;  660
Sète 34200; 6 620
Sevran 93270; 7 630
Sèvremont 85700;  520
Sèvres 92310; 1 860
Seysses 31600; 1 140
Seyssinet-Pariset 38170;  910
Seyssins 38180;  540
Sézanne 51120;  570
Sigean 11130;  800
Sillingy 74330;  400
Simiane-Collongue 13109;  420
Sin-le-Noble 59450; 2 330
Sisteron 04200;  940
Six-Fours-les-Plages 83140; 3 650
Soissons 02200; 4 410
Soisy-sous-Montmorency 95230; 1 650
Soisy-sur-Seine 91450;  490
Solliès-Pont 83210; 1 270
Solliès-Toucas 83210;  460
Somain 59490; 1 810
Sommières 30250;  770
Sorbiers 42290;  580
Sorgues 84700; 2 700
Sotteville-lès-Rouen 76300; 4 600
Souffelweyersheim 67460;  650
Souleuvre en Bocage 14350;  620
Soultz-Haut-Rhin 68360;  660
Souppes-sur-Loing 77460;  640
Soustons 40140;  940
Soyaux 16800; 1 580
Stains 93240; 6 220
Stiring-Wendel 57350; 1 530
Strasbourg 67000; 40 960
Sucé-sur-Erdre 44240;  510
Sucy-en-Brie 94370; 2 180
Sully-sur-Loire 45600;  650
Suresnes 92150; 4 280
Surgères 17700;  800
Sury-le-Comtal 42450;  690
Surzur 56450;  380
Tain-l'Hermitage 26600;  730
Talange 57525;  860
Talant 21240; 1 170
Talence 33400; 5 820
Talmont-Saint-Hilaire 85440;  800
Tarare 69170; 1 240
Tarascon 13150; 2 430
Tarbes 65000; 6 810
Tarnos 40220; 1 310
Tassin-la-Demi-Lune 69160; 1 890
Taverny 95150; 2 410
Templeuve 59242;  470
Tergnier 02700; 2 040
Ternay 69360;  460
Terrasson-Lavilledieu 24120;  790
Terville 57180;  730
Téteghem 59229;  580
Thann 68800;  890
Thaon-les-Vosges 88150; 1 020
Theix 56450;  650
Thiais 94320; 3 420
Thiers 63300; 1 850
Thionville 57100; 4 210
Thizy-les-Bourgs 69240;  570
Thoiry 01710;  380
Thônes 74230;  470
Thonon-les-Bains 74200; 4 560
Thorigné-Fouillard 35235;  650
Thorigny-sur-Marne 77400; 1 030
Thouaré-sur-Loire 44470;  840
Thouars 79100; 1 610
Thue et Mue 14740;  410
Thuir 66300; 1 470
Thyez 74300;  540
Tignieu-Jameyzieu 38230;  640
Tinchebray-Bocage 61800;  370
Tinqueux 51430;  900
Tomblaine 54510;  970
Tonnay-Charente 17430;  910
Tonneins 47400; 1 300
Torcy 77200; 2 730
Toul 54200; 2 110
Toulon 83000; 22 100
Toulouges 66350;  900
Toulouse 31000; 78 960
Tourcoing 59200; 15 910
Tournan-en-Brie 77220;  680
Tournefeuille 31170; 2 860
Tournon-sur-Rhône 07300; 1 340
Tournus 71700;  640
Tours 37000; 19 300
Tourves 83170;  570
Trans-en-Provence 83720;  710
Trappes 78190; 4 620
Trèbes 11800;  690
Trégueux 22950;  740
Trégunc 29910;  550
Treillières 44119;  720
Trélazé 49800; 2 080
Trélissac 24750;  670
Tremblay-en-France 93290; 4 630
Tresses 33370;  400
Trets 13530;  980
Trévoux 01600;  710
Triel-sur-Seine 78510; 1 020
Trignac 44570; 1 000
Trilport 77470;  460
Trith-Saint-Léger 59125;  760
Trois-Rivières 97114; 1 500
Troyes 10000; 9 610
Tulle 19000; 1 540
Tullins 38210;  780
Uckange 57270;  880
Ugine 73400;  650
Unieux 42240;  940
Urrugne 64122;  990
Ussel 19200;  730
Ustaritz 64480;  810
Uzès 30700; 1 020
Vaires-sur-Marne 77360; 1 160
Vaison-la-Romaine 84110;  660
Val d'Erdre-Auxence 49370;  350
Valbonne 06560; 1 030
Valdahon 25800;  370
Valdallière 14410;  460
Val-de-Moder 67350;  450
Val-de-Reuil 27100; 1 940
Valdoie 90300;  620
Valence 26000; 9 840
Valence 82400;  870
Valenciennes 59300; 7 530
Valentigney 25700; 1 620
Valenton 94460; 1 990
Vallauris 06220; 3 500
Vallet 44330;  730
Vallons-de-l'Erdre 44540;  580
Valognes 50700;  500
Valréas 84600; 1 120
Vandoeuvre-lès-Nancy 54500; 3 510
Vannes 56000; 6 020
Vanves 92170; 2 250
Varces-Allières-et-Risset 38760;  500
Varennes-Vauzelles 58640;  700
Vaucresson 92420;  540
Vaugneray 69670;  380
Vaujours 93410;  930
Vaulx-en-Velin 69120; 8 330
Vauréal 95490; 1 600
Vauvert 30600; 1 680
Vaux-le-Pénil 77000;  970
Vaux-sur-Seine 78740;  450
Veauche 42340;  590
Vedène 84270; 1 230
Veigné 37250;  530
Velaux 13880;  670
Vélizy-Villacoublay 78140; 1 650
Vence 06140; 1 640
Vendargues 34740;  770
Vendenheim 67550;  560
Vendin-le-Vieil 62880;  940
Vendôme 41100; 1 870
Venelles 13770;  590
Vénissieux 69200; 11 290
Ventabren 13122;  550
Verdun 55100; 2 320
Vergèze 30310;  570
Vernaison 69390;  410
Verneuil-sur-Avre 27130;  920
Verneuil-sur-Seine 78480; 1 480
Verneuil-sur-Vienne 87430;  230
Vernon 27200; 3 330
Vernouillet 28500; 1 630
Vernouillet 78540;  890
Vern-sur-Seiche 35770;  750
Verrières-en-Anjou 49480;  670
Verrières-le-Buisson 91370;  900
Versailles 78000; 5 720
Vertou 44120; 2 000
Vert-Saint-Denis 77240;  810
Vesoul 70000; 2 250
Vétraz-Monthoux 74100; 1 090
Vexin-sur-Epte 27630;  430
Vezin-le-Coquet 35132;  620
Viarmes 95270;  390
Vias 34450; 1 180
Vic-en-Bigorre 65500;  520
Vichy 03200; 3 550
Vic-le-Comte 63270;  410
Vidauban 83550; 1 590
Vienne 38200; 3 730
Vierzon 18100; 3 610
Vieux-Condé 59690; 1 330
Vieux-Habitants 97119; 1 610
Vif 38450;  550
Vigneux-de-Bretagne 44360;  420
Vigneux-sur-Seine 91270; 3 410
Villabé 91100;  530
Villard-Bonnot 38190;  560
Villars 42390;  640
Villars-les-Dombes 01330;  350
Villebon-sur-Yvette 91140;  690
Villecresnes 94440;  870
Ville-d'Avray 92410;  780
Villefontaine 38090; 2 740
Villefranche-de-Lauragais 31290;  480
Villefranche-de-Rouergue 12200; 1 170
Villefranche-sur-Mer 06230;  360
Villefranche-sur-Saône 69400; 5 190
Villejuif 94800; 7 250
Ville-la-Grand 74100; 1 100
Villemandeur 45700;  700
Villemoisson-sur-Orge 91360;  560
Villemomble 93250; 3 390
Villemur-sur-Tarn 31340;  680
Villenave-d'Ornon 33140; 4 930
Villeneuve-d'Ascq 59491; 7 400
Villeneuve-en-Retz 44580;  450
Villeneuve-la-Garenne 92390; 3 400
Villeneuve-le-Roi 94290; 2 190
Villeneuve-lès-Avignon 30400; 1 210
Villeneuve-lès-Maguelone 34750; 1 110
Villeneuve-Loubet 06270; 1 820
Villeneuve-Saint-Georges 94190; 4 580
Villeneuve-sur-Lot 47300; 3 450
Villeneuve-sur-Yonne 89500;  650
Villeneuve-Tolosane 31270; 1 240
Villennes-sur-Seine 78670;  480
Villenoy 77124;  480
Villeparisis 77270; 2 980
Villepinte 93420; 5 170
Villepreux 78450;  740
Villerest 42300;  380
Villers-Cotterêts 02600; 1 350
Villers-le-Lac 25130;  460
Villers-lès-Nancy 54600; 1 030
Villers-Saint-Paul 60870;  850
Villerupt 54190;  930
Villetaneuse 93430; 1 820
Villette-d'Anthon 38280;  270
Villeurbanne 69100; 21 910
Villiers-le-Bel 95400; 4 400
Villiers-sur-Marne 94350; 3 520
Vincennes 94300; 4 320
Vindry-sur-Turdine 69490;  330
Vineuil 41350;  620
Vire 14500; 1 650
Viriat 01440;  470
Viroflay 78220; 1 050
Viry 74580;  450
Viry-Châtillon 91170; 3 500
Vitré 35500; 1 850
Vitrolles 13127; 4 610
Vitry-le-François 51300; 1 710
Vitry-sur-Seine 94400; 11 830
Vittel 88800;  450
Vizille 38220;  650
Voiron 38500; 2 290
Voisins-le-Bretonneux 78960;  640
Voreppe 38340;  750
Vouneuil-sous-Biard 86580;  460
Wallers 59135;  640
Wambrechies 59118;  810
Wasquehal 59290; 1 890
Wasselonne 67310;  510
Wattignies 59139; 1 710
Wattrelos 59150; 5 510
Wavrin 59136;  650
Waziers 59119; 1 310
Wervicq-Sud 59117;  450
Wimereux 62930;  520
Wingles 62410; 1 170
Wintzenheim 68920;  640
Wissembourg 67160;  690
Wissous 91320;  480
Witry-lès-Reims 51420;  330
Wittelsheim 68310; 1 030
Wittenheim 68270; 1 640
Woippy 57140; 2 340
Wormhout 59470;  380
Yerres 91330; 2 020
Yffiniac 22120;  450
Yssingeaux 43200;  630
Yutz 57110; 1 760
Yvetot 76190; 1 150
Yzeure 03400; 1 040
