Commune;nbr
Ceyrat 63122;  460
Chabeuil 26120;  650
Chagny 71150;  520
Châlette-sur-Loing 45120; 2 160
Challans 85300; 2 010
Challes-les-Eaux 73190;  440
Chalonnes-sur-Loire 49290;  560
Châlons-en-Champagne 51000; 5 610
Chalon-sur-Saône 71100; 6 200
Chamalières 63400; 1 600
Chambéry 73000; 7 420
Chambly 60230;  920
Chambourcy 78240;  430
Chambray-lès-Tours 37170; 1 320
Chamonix-Mont-Blanc 74400;  910
Champagne-au-Mont-d'Or 69410;  560
Champagne-sur-Oise 95660;  390
Champagne-sur-Seine 77430;  840
Champagnole 39300;  640
Champigneulles 54250;  750
Champigny-sur-Marne 94500; 10 030
Champniers 16430;  390
Champs-sur-Marne 77420; 2 620
Changé 53810;  380
Changé 72560;  480
Chanteloup-les-Vignes 78570; 1 310
Chantepie 35135; 1 190
Chantilly 60500;  920
Chantonnay 85110;  800
Chanverrie 85130;  380
Chaponost 69630;  620
Charbonnières-les-Bains 69260;  390
Charenton-le-Pont 94220; 2 640
Charleville-Mézières 08000; 7 600
Charnay-lès-Mâcon 71850;  670
Chartres 28000; 4 970
Chartres-de-Bretagne 35131;  950
Charvieu-Chavagneux 38230;  900
Chasse-sur-Rhône 38670;  640
Chassieu 69680;  850
Château-Arnoux-Saint-Auban 04160;  620
Châteaubourg 35220;  570
Châteaubriant 44110; 1 270
Châteaudun 28200; 1 650
Châteaugiron 35410;  750
Château-Gontier 53200; 1 380
Châteaulin 29150;  490
Châteauneuf-les-Martigues 13220; 1 900
Châteauneuf-sur-Loire 45110;  710
Châteaurenard 13160; 2 220
Château-Renault 37110;  590
Châteauroux 36000; 5 620
Château-Thierry 02400; 2 430
Châtelaillon-Plage 17340;  620
Châtel-Guyon 63140;  540
Châtellerault 86100; 4 920
Châtenay-Malabry 92290; 3 040
Châtenoy-le-Royal 71880;  630
Châtillon 92320; 3 020
Châtillon-sur-Chalaronne 01400;  390
Châtillon-sur-Seine 21400;  650
Chatou 78400; 2 280
Chatuzange-le-Goubet 26300;  560
Chaumes-en-Retz 44320;  630
Chaumont 52000; 2 190
Chauny 02300; 1 750
Chauray 79180;  560
Chauvigny 86300;  650
Chavanoz 38230;  480
Chaville 92370; 1 610
Chazelles-sur-Lyon 42140;  450
Chécy 45430;  710
Chelles 77500; 5 920
Chemillé-Melay 49120; 1 610
Chennevières-sur-Marne 94430; 2 080
Chenôve 21300; 2 170
Cherbourg-Octeville 50100; 7 540
Chessy 77700;  830
Chevigny-Saint-Sauveur 21800;  930
Chevilly-Larue 94550; 2 220
Chevreuse 78460;  340
Chilly-Mazarin 91380; 2 140
Chinon 37500; 1 020
Choisy-le-Roi 94600; 5 590
Cholet 49300; 5 890
Ciboure 64500;  740
Cilaos 97413; 1 680
Claix 38640;  590
Clamart 92140; 5 050
Clapiers 34830;  480
Claye-Souilly 77410; 1 060
Cléon 76410;  710
Clermont 60600; 1 250
Clermont-Ferrand 63000; 18 800
Clermont-l'Hérault 34800; 1 570
Clichy 92110; 7 350
Clichy-sous-Bois 93390; 4 540
Clisson 44190;  600
Cloyes-les-Trois-Rivières 28220;  380
Cluny 71250;  350
Cluses 74300; 2 380
Cognac 16100; 2 570
Cognin 73160;  700
