Commune;nbr_stud
Pontchâteau;1657
Pontfaverger-Moronvilliers;346
Pontgibaud;322
Pontivy;3554
Pontlevoy;311
Pontoise;6042
Pontorson;193
Pontrieux;259
Pontvallain;309
Porcheville;38
Pornic;2381
Pornichet;456
Port-Bail-sur-Mer;207
Port-Jérôme-sur-Seine;636
Port-Louis;1003
Port-Saint-Louis-du-Rhône;698
Port-Sainte-Marie;278
Port-de-Bouc;912
Port-la-Nouvelle;360
Portes-lès-Valence;661
Portet-sur-Garonne;711
Porto-Vecchio;1866
Potigny;379
Pouebo;124
Pouembout;381
Pouilley-les-Vignes;621
Pouillon;492
Pouilly-en-Auxois;244
Pouilly-sur-Loire;165
Pouldreuzic;238
Poum;85
Poussan;814
Pouzauges;1568
Poya;150
Prades;1351
Prahecq;523
Prayssac;176
Preuilly-sur-Claise;258
Privas;2086
Priziac;24
Propriano;263
Provenchères-et-Colroy;208
Provin;479
Provins;3209
Pruillé-le-Chétif;595
Prunelli-di-Fiumorbo;1177
Prémery;126
Prévessin-Moëns;810
Puget-Théniers;246
Puget-sur-Argens;610
Puiseaux;394
Pulnoy;528
Pulversheim;18
Punaauia;1110
Putanges-le-Lac;188
Puteaux;2533
Puttelange-aux-Lacs;369
Puy-Guillaume;302
Puy-l'Evêque;197
Puymoyen;61
Pégomas;564
Pélissanne;606
Pélussin;687
Pérenchies;691
Périers;240
Périgueux;6987
Pérols;516
Péron;796
Péronnas;620
Péronne;1685
Pézenas;1833
Quarante;311
Questembert;1343
Quetigny;682
Quiberon;208
Quillan;197
Quimper;8721
Quimperlé;2604
Quincy-sous-Sénart;24
Quingey;393
Quint-Fonsegrives;623
Quintin;1490
Quiévrechain;461
Quéven;697
Rabastens;181
Raismes;444
Rambervillers;656
Rambouillet;4924
Ramonville-Saint-Agne;610
Rangiroa;367
Raon-l'Etape;441
Raucourt-et-Flaba;258
Rauzan;360
Rebais;486
Recey-sur-Ource;115
Redon;3609
Reichshoffen;428
Reignier-Esery;955
Reims;18072
Remire-Montjoly;3901
Remiremont;2291
Remoulins;586
Renaison;514
Renazé;191
Rennes;22707
Ressons-sur-Matz;493
Rethel;1131
Retiers;445
Retournac;291
Revel;1103
Revigny-sur-Ornain;254
Revin;566
Reyrieux;689
Rezé;4755
Rhinau;252
Riaillé;396
Riantec;579
Ribeauvillé;1270
Ribemont;344
Ribécourt-Dreslincourt;455
Ribérac;865
Richelieu;311
Riedisheim;1106
Rieux-Minervois;435
Riez;297
Rignac;520
Rillieux-la-Pape;2866
Rilly-la-Montagne;313
Rimogne;315
Riom;4356
Riom-ès-Montagnes;171
Rion-des-Landes;261
Riorges;546
Rioz;751
Ris-Orangis;2069
Riscle;210
Rive-de-Gier;2662
Rivery;701
Rives;776
Rives-en-Seine;575
Rivesaltes;776
Rivière-Pilote;486
Rivière-Salée;912
Rixheim;687
Roanne;5377
Rocbaron;586
Roche-la-Molière;625
Rochechouart;322
Rochefort;3394
Rochefort-Montagne;235
Rochefort-du-Gard;613
Rocheservière;541
Rocroi;196
Rodez;4328
Rognac;711
Rognes;573
Rognonas;356
Rohan;513
Rohrbach-lès-Bitche;505
Roisel;257
Roissy-en-Brie;2706
Romagnat;41
Romainville;1452
Romans-sur-Isère;4741
Rombas;1386
Romilly-sur-Andelle;553
Romilly-sur-Seine;2580
Romillé;519
Romorantin-Lanthenay;2648
Ronchin;852
Roncq;279
Roost-Warendin;575
Roquebillière;271
Roquebrune-Cap-Martin;1062
Roquebrune-sur-Argens;839
Roquefort;255
Roquefort-les-Pins;719
Roquevaire;781
Rosheim;649
Rosières-en-Santerre;345
Rosny-sous-Bois;2805
Rosny-sur-Seine;559
Rosporden;715
Rostrenen;617
Roubaix;10055
Rouen;12778
Rouffach;790
Rougemont;281
Rougemont-le-Château;273
Rouillac;388
Roujan;506
Roulans;411
Roura;144
Roussillon;1233
Routot;370
Rouvroy;548
Royan;2768
Roye;852
Rozay-en-Brie;1397
Rozoy-sur-Serre;150
Rue;448
Rueil-Malmaison;9343
Ruelle-sur-Touvre;601
Ruffec;476
Rugles;241
Rumilly;3612
Rungis;330
Ruoms;235
Rupt-sur-Moselle;170
Rurutu;201
Régny;375
Réhon;389
Rémalard en Perche;238
Rémilly;514
Réquista;67
Sablé-sur-Sarthe;2583
Sada;2569
Sain-Bel;846
Sains-Richaumont;165
Sains-du-Nord;220
Sains-en-Gohelle;331
Saint Aulaye-Puymangou;190
Saint Geniez d'Olt et d'Aubrac;138
Saint pierre;411
Saint-Affrique;1148
Saint-Agnant;565
Saint-Agrève;91
Saint-Aignan;473
Saint-Aigulin;190
Saint-Alban-Leysse;559
Saint-Amand-Longpré;257
Saint-Amand-Montrond;1348
Saint-Amand-en-Puisaye;109
Saint-Amand-les-Eaux;3352
Saint-Amans-des-Cots;148
Saint-Amant-de-Boixe;399
Saint-Amarin;370
Saint-Ambroix;367
Saint-Amour;228
Saint-Andiol;602
Saint-André;6894
Saint-André-de-Corcy;594
Saint-André-de-Cubzac;2586
Saint-André-de-l'Eure;604
Saint-André-les-Alpes;178
Saint-André-les-Vergers;576
Saint-André-lez-Lille;763
Saint-Anthème;69
Saint-Antoine-de-Breuilh;158
Saint-Antonin-Noble-Val;300
Saint-Arnoult-en-Yvelines;699
Saint-Astier;543
Saint-Aubin;208
Saint-Aubin-d'Aubigné;1155
Saint-Aubin-de-Médoc;747
Saint-Aubin-du-Cormier;802
Saint-Aubin-en-Bray;617
Saint-Aubin-le-Cloud;61
Saint-Aubin-lès-Elbeuf;403
Saint-Avertin;601
Saint-Avold;3160
Saint-Avé;453
Saint-Ay;495
Saint-Barthélemy;381
Saint-Barthélemy-d'Anjou;765
Saint-Benin-d'Azy;157
Saint-Benoît;5374
Saint-Benoît-du-Sault;145
Saint-Benoît-sur-Loire;223
Saint-Bonnet-le-Château;688
Saint-Brevin-les-Pins;959
Saint-Brice-sous-Forêt;597
Saint-Brieuc;7665
Saint-Béat-Lez;103
Saint-Calais;254
Saint-Cernin;175
Saint-Chamas;462
Saint-Chamond;3975
Saint-Chef;623
Saint-Chinian;351
Saint-Christol-lez-Alès;740
Saint-Chély-d'Apcher;944
Saint-Chéron;717
Saint-Ciers-sur-Gironde;578
Saint-Cirgues-en-Montagne;81
Saint-Clair-sur-l'Elle;241
Saint-Claude;1649
Saint-Cloud;2910
Saint-Clément-de-Rivière;1373
Saint-Cyprien;1189
Saint-Cyr-l'Ecole;1421
Saint-Cyr-sur-Loire;641
Saint-Céré;395
Saint-Denis;26173
Saint-Denis-en-Val;518
Saint-Denis-lès-Bourg;630
Saint-Didier-au-Mont-d'Or;620
Saint-Didier-de-Formans;813
Saint-Didier-en-Velay;917
Saint-Didier-sur-Chalaronne;721
Saint-Dier-d'Auvergne;170
Saint-Dizier;2631
Saint-Dié-des-Vosges;3109
Saint-Donat-sur-l'Herbasse;745
Saint-Doulchard;632
Saint-Egrève;701
Saint-Eloy-les-Mines;390
Saint-Erblon;469
Saint-Esprit;381
Saint-Estève;899
Saint-Etienne;14589
Saint-Etienne-au-Mont;527
Saint-Etienne-de-Baïgorry;144
Saint-Etienne-de-Cuines;308
Saint-Etienne-de-Saint-Geoirs;520
Saint-Etienne-du-Rouvray;1725
Saint-Fargeau;364
Saint-Fargeau-Ponthierry;935
Saint-Florent;222
Saint-Florent-sur-Cher;645
Saint-Florentin;497
Saint-Flour;1284
Saint-Fons;895
Saint-François;581
Saint-Galmier;1217
Saint-Gaudens;1745
Saint-Gaultier;186
Saint-Genest-Lerpt;91
Saint-Genest-Malifaux;406
Saint-Gengoux-le-National;216
Saint-Genis-Laval;2166
Saint-Genis-Pouilly;702
Saint-Genis-de-Saintonge;309
Saint-Genix-les-Villages;566
Saint-Geniès-de-Malgoirès;624
Saint-Georges;785
Saint-Georges-d'Espéranche;441
Saint-Georges-de-Reintembault;304
Saint-Georges-de-Reneins;735
Saint-Georges-sur-Baulche;674
Saint-Georges-sur-Loire;605
Saint-Geours-de-Maremne;531
Saint-Germain-Laval;232
Saint-Germain-Lembron;385
Saint-Germain-des-Fossés;330
Saint-Germain-du-Bois;307
Saint-Germain-du-Plain;567
Saint-Germain-du-Puy;448
Saint-Germain-en-Laye;10930
Saint-Germain-l'Herm;139
Saint-Germain-les-Belles;229
Saint-Germain-lès-Arpajon;564
Saint-Germain-lès-Corbeil;857
Saint-Germain-sur-Morin;564
Saint-Gervais-d'Auvergne;129
Saint-Gervais-les-Bains;108
Saint-Gervais-les-Trois-Clochers;278
Saint-Gildas-des-Bois;1056
Saint-Gilles;773
Saint-Gilles-Croix-de-Vie;424
Saint-Girons;1196
Saint-Gobain;290
Saint-Gratien;1101
Saint-Grégoire;1554
Saint-Herblain;2511
Saint-Hilaire-de-Villefranche;281
Saint-Hilaire-des-Loges;236
Saint-Hilaire-du-Harcouët;582
Saint-Hippolyte-du-Fort;310
Saint-Héand;795
Saint-Ismier;718
Saint-Jacques-de-la-Lande;445
Saint-James;356
Saint-Jean;729
Saint-Jean-Brévelay;607
Saint-Jean-Pied-de-Port;615
Saint-Jean-Saint-Nicolas;47
Saint-Jean-d'Angély;1338
Saint-Jean-d'Aulps;417
Saint-Jean-d'Hermine;578
Saint-Jean-d'Illac;511
Saint-Jean-de-Bournay;663
Saint-Jean-de-Braye;2900
Saint-Jean-de-Daye;230
Saint-Jean-de-Luz;3308
Saint-Jean-de-Maurienne;1316
Saint-Jean-de-Moirans;328
Saint-Jean-de-Monts;814
Saint-Jean-de-Sauves;215
Saint-Jean-de-Soudain;611
Saint-Jean-de-Védas;791
Saint-Jean-de-la-Ruelle;966
Saint-Jean-du-Gard;177
Saint-Jean-en-Royans;287
Saint-Jean-le-Blanc;468
Saint-Jeannet;847
Saint-Jeoire;724
Saint-Joachim;272
Saint-Jorioz;536
Saint-Jory;1215
Saint-Joseph;4497
Saint-Jouan-des-Guérets;248
Saint-Julien-Chapteuil;573
Saint-Julien-en-Genevois;2948
Saint-Julien-les-Villas;310
Saint-Junien;1510
Saint-Just-Saint-Rambert;1210
Saint-Just-en-Chaussée;730
Saint-Just-en-Chevalet;263
Saint-Juéry;693
Saint-Laurent-Nouan;448
Saint-Laurent-de-Chamousset;330
Saint-Laurent-de-Mure;764
Saint-Laurent-de-la-Salanque;897
Saint-Laurent-du-Maroni;6609
Saint-Laurent-du-Pont;332
Saint-Laurent-du-Var;1335
Saint-Laurent-en-Grandvaux;284
Saint-Laurent-sur-Sèvre;1306
Saint-Leu;2950
Saint-Leu-d'Esserent;647
Saint-Leu-la-Forêt;1332
Saint-Loubès;970
Saint-Louis;8008
Saint-Loup-sur-Semouse;341
Saint-Lys;629
Saint-Léonard-de-Noblat;726
Saint-Lô;2835
Saint-Maixent-l'Ecole;1345
Saint-Malo;4921
Saint-Mamet-la-Salvetat;239
Saint-Mandrier-sur-Mer;212
Saint-Mandé;1632
Saint-Marcel;1078
Saint-Marcellin;1313
Saint-Mard;624
Saint-Martin;2764
Saint-Martin-Boulogne;1913
Saint-Martin-d'Hères;2390
Saint-Martin-de-Crau;1381
Saint-Martin-de-May;651
Saint-Martin-de-Ré;559
Saint-Martin-de-Seignanx;518
Saint-Martin-des-Champs;212
Saint-Martin-du-Var;529
Saint-Martin-en-Bresse;326
Saint-Martin-en-Haut;786
Saint-Martin-le-Vinoux;529
Saint-Mathieu;172
Saint-Mathieu-de-Tréviers;557
Saint-Maur-des-Fossés;8878
Saint-Maurice;345
Saint-Maurice-Saint-Germain;249
Saint-Maurice-l'Exil;641
Saint-Maximin;15
Saint-Maximin-la-Sainte-Baume;2814
Saint-Memmie;704
Saint-Michel;686
Saint-Michel-de-Maurienne;225
Saint-Michel-en-l'Herm;293
Saint-Michel-sur-Orge;2254
Saint-Mihiel;455
Saint-Mitre-les-Remparts;345
Saint-Médard-de-Guizières;366
Saint-Médard-en-Jalles;1508
Saint-Méen-le-Grand;592
Saint-Nazaire;6939
Saint-Nazaire-d'Aude;732
Saint-Nicolas;750
Saint-Nicolas-d'Aliermont;713
Saint-Nicolas-de-Port;446
Saint-Nicolas-du-Pélem;89
Saint-Omer;3002
Saint-Orens-de-Gameville;2156
Saint-Ouen-l'Aumône;2607
Saint-Ouen-sur-Seine;2622
Saint-Palais;502
Saint-Paul;9774
Saint-Paul-Trois-Châteaux;634
Saint-Paul-de-Fenouillet;158
Saint-Paul-en-Chablais;509
Saint-Paul-lès-Dax;1550
Saint-Paul-sur-Isère;152
Saint-Philbert-de-Grand-Lieu;1650
Saint-Philippe;313
Saint-Pierre;8967
Saint-Pierre-Eglise;475
Saint-Pierre-d'Albigny;502
Saint-Pierre-d'Irube;773
Saint-Pierre-d'Oléron;392
Saint-Pierre-de-Chandieu;580
Saint-Pierre-de-Lages;599
Saint-Pierre-des-Corps;972
Saint-Pierre-du-Mont;954
Saint-Pierre-du-Perray;624
Saint-Pierre-en-Auge;709
Saint-Pierre-en-Faucigny;664
Saint-Pierre-la-Cour;349
Saint-Pierre-le-Moûtier;300
Saint-Pierre-lès-Elbeuf;535
Saint-Pierre-lès-Nemours;969
Saint-Pol-de-Léon;1811
Saint-Pol-sur-Ternoise;1591
Saint-Pons-de-Thomières;22
Saint-Porchaire;504
Saint-Pourçain-sur-Sioule;943
Saint-Prest;691
Saint-Priest;4236
Saint-Priest-en-Jarez;791
Saint-Prix;496
Saint-Père-en-Retz;502
Saint-Pée-sur-Nivelle;369
Saint-Péray;565
Saint-Quay-Portrieux;555
Saint-Quentin;6103
Saint-Quentin-Fallavier;471
Saint-Rambert-d'Albon;781
Saint-Rambert-en-Bugey;288
Saint-Raphaël;3418
Saint-Renan;1371
Saint-Romain-de-Colbosc;952
Saint-Romain-le-Puy;777
Saint-Rémy;631
Saint-Rémy-de-Provence;688
Saint-Saturnin;213
Saint-Saulge;85
Saint-Saulve;1220
Saint-Sauveur-Villages;278
Saint-Sauveur-de-Montagut;192
Saint-Sauveur-le-Vicomte;405
Saint-Sauveur-sur-Tinée;162
Saint-Savin;171
Saint-Savinien;379
Saint-Saëns;401
Saint-Selve;557
Saint-Sever;615
Saint-Siméon-de-Bressieux;385
Saint-Sorlin-en-Valloire;465
Saint-Soupplets;395
Saint-Sulpice-Laurière;164
Saint-Sulpice-la-Pointe;965
Saint-Sulpice-les-Feuilles;159
Saint-Symphorien;394
Saint-Symphorien-d'Ozon;734
Saint-Symphorien-sur-Coise;1024
Saint-Sébastien-sur-Loire;1542
Saint-Thibault-des-Vignes;572
Saint-Thierry;480
Saint-Thégonnec Loc-Eguiner;169
Saint-Trivier-de-Courtes;282
Saint-Trojan-les-Bains;94
Saint-Tropez;172
Saint-Vaast-la-Hougue;140
Saint-Valery-en-Caux;1019
Saint-Valery-sur-Somme;344
Saint-Vallier;1648
Saint-Vallier-de-Thiey;439
Saint-Valérien;622
Saint-Varent;251
Saint-Vaury;273
Saint-Venant;421
Saint-Victoret;671
Saint-Vincent-de-Paul;143
Saint-Vincent-de-Tyrosse;1801
Saint-Vit;737
Saint-Witz;631
Saint-Yorre;307
Saint-Yrieix-la-Perche;894
Saint-Yrieix-sur-Charente;20
Saint-Yzan-de-Soudiac;652
Saint-Zacharie;641
Sainte-Adresse;874
Sainte-Anne;2199
Sainte-Anne-d'Auray;1112
Sainte-Cécile;174
Sainte-Cécile-les-Vignes;669
Sainte-Eulalie;480
Sainte-Florine;329
Sainte-Foy-l'Argentière;445
Sainte-Foy-la-Grande;1112
Sainte-Foy-lès-Lyon;387
Sainte-Geneviève;534
Sainte-Geneviève-des-Bois;4005
Sainte-Jamme-sur-Sarthe;463
Sainte-Livrade-sur-Lot;302
Sainte-Luce;1036
Sainte-Marie;4132
Sainte-Marie-aux-Chênes;636
Sainte-Marie-aux-Mines;472
Sainte-Maure-de-Touraine;451
Sainte-Maxime;569
Sainte-Menehould;456
Sainte-Mère-Eglise;241
Sainte-Pazanne;1284
Sainte-Rose;1813
Sainte-Savine;1599
Sainte-Sigolène;192
Sainte-Suzanne;2061
Sainte-Sévère-sur-Indre;126
Saintes;4492
Salaise-sur-Sanne;692
Salazie;468
Salbris;441
Salies-de-Béarn;344
Salies-du-Salat;487
Salindres;647
Salins-les-Bains;748
Sallanches;1221
Sallaumines;393
Salles;963
Salles-Curan;112
Salon-de-Provence;5697
Salviac;141
Samatan;402
Sambin;501
Samer;611
Samoëns;186
Sanary-sur-Mer;470
Sancergues;254
Sancerre;339
Sancey;289
Sancoins;166
Sangatte;547
Sannois;2465
Santa-Maria-Siché;149
Santeny;473
Sanvignes-les-Mines;273
Saran;581
Sarcelles;7387
Sarlat-la-Canéda;1825
Sarralbe;433
Sarre-Union;744
Sarrebourg;2121
Sarreguemines;3352
Sarrola-Carcopino;651
Sartilly-Baie-Bocage;240
Sartrouville;4578
Sartène;381
Sarzeau;581
Sassenage;794
Satillieu;235
Saugues;149
Saujon;602
Saulieu;170
Sault;161
Sault-lès-Rethel;373
Saulx-les-Chartreux;773
Saumur;3699
Sausset-les-Pins;817
Sauveterre-de-Béarn;265
Sauveterre-de-Guyenne;381
Sauzé-entre-Bois;161
Savenay;3164
Saverdun;330
Saverne;2248
Savigny-le-Temple;2784
Savigny-sur-Orge;5156
Savigné-sur-Lathan;324
Saône;682
Scaër;271
Sceaux;3950
Scey-sur-Saône-et-Saint-Albin;409
Schiltigheim;1345
Schirmeck;342
Schoelcher;705
Schoeneck;409
Schweighouse-sur-Moder;441
Scionzier;793
Sebourg;417
Seclin;1301
Secondigny;332
Sedan;2463
Segonzac;333
Segré-en-Anjou Bleu;2566
Seiches-sur-le-Loir;692
Seilh;863
Seilhac;361
Seix;132
Selles-sur-Cher;409
Seloncourt;331
Selongey;245
Seltz;490
Semur-en-Auxois;1146
Senlis;3424
Sennecey-le-Grand;380
Senonches;285
Senones;259
Sens;4818
Seppois-le-Bas;337
Septèmes-les-Vallons;551
Sermaize-les-Bains;396
Serres;153
Serres-Castet;781
Serris;1818
Servian;639
Seurre;323
Sevran;3412
Seyne;108
Seyssel;566
Seysses;584
Seyssinet-Pariset;1472
Seyssins;529
Seyssuel;890
Sierck-les-Bains;575
Sierentz;477
Sigave;99
Sigean;611
Signy-l'Abbaye;336
Signy-le-Petit;272
Sigoulès-et-Flaugeac;301
Sillingy;693
Sillé-le-Guillaume;791
Simiane-Collongue;465
Sin-le-Noble;1718
Sinnamary;231
Sissonne;450
Sisteron;1022
Six-Fours-les-Plages;1408
Sizun;272
Sochaux;734
Soissons;4096
Soisy-sous-Montmorency;993
Soisy-sur-Seine;549
Solesmes;1362
Solliès-Pont;1101
Solre-le-Château;329
Somain;3214
Sombernon;399
Sommières;1466
Sorbiers;11
Sorgues;1820
Sospel;177
Sotteville-lès-Rouen;3219
Soucieu-en-Jarrest;603
Souffelweyersheim;546
Soufflenheim;596
Souillac;465
Soulac-sur-Mer;310
Souleuvre en Bocage;371
Soultz-Haut-Rhin;424
Soultz-sous-Forêts;662
Souppes-sur-Loing;295
Sourdeval;144
Sourdun;444
Soustons;547
Soyaux;927
Stains;3433
Steenvoorde;654
Stenay;662
Stiring-Wendel;515
Strasbourg;27892
Sucy-en-Brie;3521
Suippes;357
Sully-sur-Loire;404
Sundhouse;490
Suresnes;2422
Surgères;1297
Sury-le-Comtal;24
Suze-la-Rousse;242
Sète;4136
Sèvremoine;2076
Sèvres;2500
Sées;658
Sélestat;2860
Séméac;549
Séné;499
Sérignan;2085
Sévérac d'Aveyron;199
Sézanne;907
Tahaa;310
Taiarapu;2289
Talange;495
Talant;323
Talence;3842
Tallard;399
Taninges;452
Taputapuatea;178
Tarare;2383
Tarascon;1849
Tarascon-sur-Ariège;443
Tarbes;6387
Tardets-Sorholus;82
Tarnos;540
Tartas;596
Tassin-la-Demi-Lune;2070
Tavaux;283
Taverny;3326
Teloché;694
Tence;299
Tende;87
Tergnier;767
Terrasson-Lavilledieu;918
Terre-de-Haut;60
Terres-de-Caux;470
Terres-de-Haute-Charente;178
Tessy-Bocage;285
Teva i uta;569
Thann;1694
Thaon-les-Vosges;526
Theix-Noyalo;446
Thenon;313
Thiais;3339
Thiant;581
Thiaucourt-Regniéville;229
Thiberville;329
Thiers;1747
Thierville-sur-Meuse;395
Thio;69
Thionville;8746
Thiviers;352
Thizy-les-Bourgs;587
Thoissey;487
Thonon-les-Bains;5801
Thorigny-sur-Marne;656
Thouars;1857
Thouaré-sur-Loire;649
Thourotte;636
Thuir;1100
Thumeries;568
Thury-Harcourt-le-Hom;800
Thénezay;169
Thérouanne;672
Théza;41
Thônes;1465
Tignieu-Jameyzieu;637
Tigy;430
Tilly-sur-Seulles;396
Tinchebray-Bocage;400
Tinqueux;734
Tinténiac;1434
Tocane-Saint-Apre;260
Tomblaine;1955
Tonnay-Boutonne;276
Tonnay-Charente;571
Tonneins;762
Tonnerre;912
Torcy;1908
Torigny-les-Villes;544
Toucy;786
Toul;3112
Toulon;10377
Toulouges;744
Toulouse;31416
Tourbes;315
Tourcoing;10542
Tournan-en-Brie;1618
Tournay;299
Tournefeuille;2012
Tournon-Saint-Martin;119
Tournon-sur-Rhône;3155
Tournus;804
Tourrette-Levens;756
Tours;17952
Toury;398
Trappes;2261
Traînou;665
Treignac;157
Treillières;549
Tremblay-en-France;2903
Triel-sur-Seine;742
Trignac;548
Trilport;575
Trith-Saint-Léger;234
Troarn;528
Trois-Rivières;344
Tronget;148
Trouville-sur-Mer;1211
Troyes;8462
Truchtersheim;662
Trun;274
Trèbes;391
Tréguier;1138
Trélazé;568
Trélissac;19
Trélon;232
Trévières;187
Trévoux;1902
Tsingoni;1373
Tubuai;226
Tucquegnieux;327
Tulle;2187
Tullins;532
Uckange;405
Ugine;744
Unieux;599
Ussel;1129
Ustaritz;645
Uturoa;797
Uvea;631
Uzerche;321
Uzès;1942
Vagney;327
Vailly-sur-Aisne;253
Vaires-sur-Marne;730
Vaison-la-Romaine;1120
Val d'Anast;579
Val d'Erdre-Auxence;415
Val d'Oingt;813
Val de Briey;2239
Val-Couesnon;330
Val-au-Perche;231
Val-d'Arc;339
Val-de-Meuse;156
Val-de-Moder;381
Val-de-Reuil;1113
Val-de-Scie;686
Valbonne;3699
Valdahon;600
Valdallière;242
Valdeblore;264
Valdoie;459
Valence;9363
Valence-d'Albigeois;226
Valence-en-Poitou;464
Valenciennes;7494
Valentigney;1288
Valenton;1114
Valençay;239
Valgelon-La Rochette;513
Vallauris;816
Vallet;1269
Vallon-Pont-d'Arc;375
Vallon-en-Sully;194
Vallons-de-l'Erdre;284
Valmont;400
Valognes;1585
Valréas;672
Vals-les-Bains;367
Valserhône;1811
Vandoeuvre-lès-Nancy;1668
Vannes;9107
Vanves;2284
Varces-Allières-et-Risset;552
Varennes-Vauzelles;487
Varennes-sur-Allier;376
Varennes-sur-Seine;507
Varzy;138
Vatan;255
Vaubecourt;180
Vaucouleurs;388
Vaucresson;788
Vaugneray;642
Vaujours;1946
Vaulx-en-Velin;3086
Vauréal;2251
Vauvert;970
Vauvillers;152
Vaux-le-Pénil;1534
Vayrac;170
Veauche;776
Vedène;24
Velaux;750
Venarey-les-Laumes;282
Vence;1903
Vendenheim;315
Vendeuvre-sur-Barse;261
Vendin-le-Vieil;584
Vendôme;2593
Verberie;544
Vercel-Villedieu-le-Camp;226
Verdun;2502
Verdun-Ciel;397
Verdun-sur-Garonne;452
Verfeil;478
Vergt;385
Vergèze;775
Vermand;384
Vermelles;465
Vermenton;214
Vern-sur-Seiche;626
Vernet;521
Verneuil d'Avre et d'Iton;1474
Verneuil-l'Etang;501
Verneuil-sur-Seine;2722
Vernon;4018
Vernouillet;1428
Vernoux-en-Vivarais;237
Verny;591
Verrières-en-Anjou;1682
Verrières-le-Buisson;696
Versailles;12152
Verson;673
Vert-Saint-Denis;880
Vertou;1066
Vervins;438
Verzy;404
Vesoul;3179
Vestric-et-Candiac;679
Veuzain-sur-Loire;562
Veynes;279
Vialas;28
Viarmes;613
Vibraye;281
Vic-Fezensac;256
Vic-en-Bigorre;954
Vic-le-Comte;457
Vic-sur-Aisne;392
Vic-sur-Cère;163
Vichy;1169
Vico;139
Vidauban;636
Vielmur-sur-Agout;385
Vienne;6778
Vierzon;2874
Vieux-Condé;712
Vieux-Habitants;308
Vif;668
Vigneux-sur-Seine;1442
Vigny;530
Vigy;413
Villabé;566
Villaines-la-Juhel;313
Villard-Bonnot;1673
Villard-de-Lans;1089
Villars-les-Dombes;546
Ville-d'Avray;507
Ville-la-Grand;2492
Villebois-Lavalette;325
Villebon-sur-Yvette;1414
Villecresnes;620
Villedieu-les-Poêles-Rouffigny;528
Villefagnan;133
Villefontaine;2464
Villefort;85
Villefranche-de-Lauragais;1535
Villefranche-de-Rouergue;1119
Villefranche-sur-Saône;6275
Villejuif;2500
Villelongue-dels-Monts;45
Villemandeur;1908
Villemoirieu;590
Villemoisson-sur-Orge;697
Villemomble;4165
Villemur-sur-Tarn;444
Villenave-d'Ornon;1447
Villeneuve-Loubet;621
Villeneuve-Saint-Georges;2311
Villeneuve-Saint-Germain;393
Villeneuve-Tolosane;656
Villeneuve-d'Ascq;5831
Villeneuve-de-Berg;428
Villeneuve-de-Marsan;367
Villeneuve-l'Archevêque;373
Villeneuve-la-Garenne;1946
Villeneuve-la-Guyard;494
Villeneuve-le-Comte;56
Villeneuve-le-Roi;2271
Villeneuve-lès-Avignon;2439
Villeneuve-lès-Maguelone;561
Villeneuve-sur-Aisne;380
Villeneuve-sur-Bellot;440
Villeneuve-sur-Lot;2671
Villeneuve-sur-Yonne;592
Villeparisis;1616
Villepinte;3941
Villepreux;1506
Villers-Bocage;1108
Villers-Bretonneux;448
Villers-Cotterêts;1431
Villers-Outréaux;210
Villers-Saint-Paul;482
Villers-Semeuse;306
Villers-lès-Nancy;933
Villersexel;367
Villerupt;780
Villetaneuse;979
Villeurbanne;9503
Villiers-Saint-Frédéric;778
Villiers-Saint-Georges;342
Villiers-le-Bel;3138
Villiers-sur-Marne;1161
Villié-Morgon;500
Villé;448
Vimoutiers;200
Vinay;566
Vincennes;4809
Vineuil;840
Vire Normandie;1518
Vireux-Wallerand;192
Viroflay;663
Viry-Châtillon;3163
Vitrolles;4303
Vitry-en-Artois;685
Vitry-le-François;1899
Vitry-sur-Orne;536
Vitry-sur-Seine;6518
Vitré;4457
Vitteaux;110
Vittel;348
Vivonne;548
Vizille;1598
Voh;167
Voiron;4333
Voisenon;846
Voisins-le-Bretonneux;913
Voiteur;224
Volgelsheim;610
Volvic;641
Vonnas;435
Voreppe;501
Vouillé;450
Voujeaucourt;661
Vouneuil-sous-Biard;805
Vouneuil-sur-Vienne;510
Vourles;703
Vouvray;750
Vouziers;792
Vrigne aux Bois;354
Vulaines-sur-Seine;489
Vulbens;581
Vélines;308
Vélizy-Villacoublay;1177
Vénissieux;5439
Vérac;716
Vézelise;410
Walbourg;700
Walincourt-Selvigny;415
Wallers;507
Wasquehal;407
Wasselonne;476
Wassigny;227
Wassy;398
Watten;751
Wattignies;844
Wattrelos;2878
Wavrin;558
Waziers;342
Wimille;398
Wingen-sur-Moder;217
Wingles;1646
Wintzenheim;549
Wissembourg;1685
Witry-lès-Reims;476
Wittelsheim;1137
Wittenheim;1283
Wizernes;443
Woerth;425
Woippy;936
Wormhout;782
Xertigny;368
Yaté;85
Ydes;217
Yenne;342
Yerres;1023
Yerville;587
Yssingeaux;1364
Yutz;795
Yvetot;3157
Yvré-l'Evêque;318
Yzeure;1197
Zillisheim;1295
